"Gene","Drug","Drug_Concept_ID","Interaction_Score","Interaction_Type","Directionality","Sources","PubMed_IDs","Program"
"PLK1","CHEMBL:CHEMBL1547715","chembl:CHEMBL1547715",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","MK-1496","chembl:CHEMBL5314387",0.278589418385699,"inhibitor","INHIBITORY","ChEMBL",NA,"Proliferation"
"PLK1","CHLORPYRIFOS","chembl:CHEMBL463210",0.0557178836771397,NA,NA,"DTC",NA,"Proliferation"
"PLK1","GSK-461364A","iuphar.ligand:5684",0.557178836771397,"inhibitor; inhibitor","INHIBITORY; INHIBITORY","GuideToPharmacology; ChEMBL",NA,"Proliferation"
"PLK1","GUTHION","chembl:CHEMBL530115",0.0232157848654749,NA,NA,"DTC",NA,"Proliferation"
"PLK1","6-CHLORONICOTINIC ACID","chembl:CHEMBL1723657",0.278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL548629","chembl:CHEMBL548629",0.139294709192849,NA,NA,"DTC",NA,"Proliferation"
"PLK1","NANAOMYCIN","chembl:CHEMBL1212972",0.0214299552604383,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CEFACLOR ANHYDROUS","rxcui:1450910",0.0163876128462176,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL151797","chembl:CHEMBL151797",0.0557178836771397,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1701915","chembl:CHEMBL1701915",0.0397984883408141,NA,NA,"DTC",NA,"Proliferation"
"PLK1","OXYPHENBUTAZONE","rxcui:7816",0.0253263107623362,NA,NA,"DTC",NA,"Proliferation"
"PLK1","PENTABROMOPHENOL","chembl:CHEMBL1235157",0.0214299552604383,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL118678","chembl:CHEMBL118678",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","AROTINOID ACID","drugbank:DB02877",0.019899244170407,NA,NA,"DTC",NA,"Proliferation"
"PLK1","COMPOUND 2 [PMID: 19097784]","iuphar.ligand:8646",0.278589418385699,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL118378","chembl:CHEMBL118378",0.139294709192849,NA,NA,"DTC",NA,"Proliferation"
"PLK1","PHYSODIC ACID","chembl:CHEMBL171637",0.0278589418385699,NA,NA,"DTC",NA,"Proliferation"
"PLK1","NVP-TAE684","iuphar.ligand:5714",0.00270475163481261,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1459280","chembl:CHEMBL1459280",0.0464315697309498,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL582478","chembl:CHEMBL582478",0.0348236772982123,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL1287980","chembl:CHEMBL1287980",0.0397984883408141,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL297304","chembl:CHEMBL297304",0.0185726278923799,NA,NA,"DTC",NA,"Proliferation"
"PLK1","CHEMBL:CHEMBL599924","chembl:CHEMBL599924",0.0174118386491062,NA,NA,"DTC",NA,"Proliferation"
"PLK1","HAEMATOXYLIN","chembl:CHEMBL1479103",0.0107149776302192,NA,NA,"DTC",NA,"Proliferation"
